,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
20,20,108,108,,108,70+,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,1.0,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,0.0,,1.0-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-0.0,328,0.0030581338951748875,1.0559872842235185e-09,1.671979866687237e-09,1.319984105279398e-09,2.1999735087989965e-09,1.0559872842235185e-09,1.0559872842235185e-09,1.7599788070391972e-09,1.671979866687237e-09,7.919904631676388e-10,4.575944898301913e-09,1.0119878140475385e-08,0.027333333333333334,label1x,,,0,0,0,0.003072737847319938
21,21,115,115,,115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,118,1.0315777503038823e-08,4.126311001215529e-08,2.0631555006077646e-08,5.6736776266713524e-08,3.094733250911647e-08,3.094733250911647e-08,4.64209987636747e-08,4.64209987636747e-08,1.0831566378190763e-07,2.0631555006077646e-08,1.959997725577376e-07,0.0,0.009833333333333333,label11x,,,10,0,0,4.260416108755033e-05
22,22,116,116,,116,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,9,0.00015241579027587256,0.0,0.00015241579027587256,0.0,0.00015241579027587256,0.0,0.0,0.0,0.0,0.0009144947416552353,0.0,0.0,0.00075,label10x,,,9,0,0,0.009602194787379972
23,23,117,117,,117,65-69,Ontario,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,114,5.9004673760208546e-08,8.850701064031283e-08,0.03540978893438149,6.638025798023462e-08,5.162908954018248e-08,1.4751168440052136e-08,3.6877921100130345e-08,0.0,0.0,1.1063376330039102e-07,1.1063376330039102e-07,1.3276051596046924e-07,0.0095,label3x,,,2,0,0,0.03674368546732587
24,24,122,122,,122,35-39,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.8888888888888888,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.8888888888888888-0-1.0,114,6.24418416686698e-08,7.493021000240376e-08,0.00885028184748725,7.493021000240376e-08,5.6197657501802823e-08,4.9953473334935845e-08,4.9953473334935845e-08,0.0,0.0,1.3112786750420658e-07,5.6197657501802823e-08,1.0615113083673866e-07,0.0095,label3x,,,2,0,0,0.008959180419357412
25,25,125,125,,126,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.5333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,34,4.48988877048886e-06,2.24494438524443e-06,0.0,7.483147950814765e-07,7.483147950814765e-07,0.0,2.24494438524443e-06,1.27213515163851e-05,0.0,2.24494438524443e-06,0.0,0.0,0.0028333333333333335,label8x,,,7,0,0,0.0006615102788520253
26,26,131,131,,132,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.2222222222222222,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.2222222222222222-0-1.0,17,2.3946073442607248e-05,0.0,0.0,1.1973036721303624e-05,3.591911016391088e-05,1.1973036721303624e-05,2.3946073442607248e-05,4.7892146885214497e-05,0.0,4.7892146885214497e-05,0.0,0.0,0.0014166666666666668,label8x,,,7,0,0,0.0018318746183594546
27,27,144,144,,145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,40,2.7343749999999995e-06,1.5625e-06,0.0,1.5625e-06,1.1718750000000001e-06,2.3437500000000002e-06,1.1718750000000001e-06,0.0,0.0,0.0,0.0,5.078125000000001e-06,0.0033333333333333335,label12x,,,11,0,0,0.00040625000000000004
28,28,151,151,,152,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,,,,0.4666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,107,6.459184734621166e-08,4.844388550965874e-08,0.009434866550013792,3.229592367310583e-08,3.229592367310583e-08,4.036990459138228e-08,1.291836946924233e-07,6.459184734621166e-08,1.6955359928380563e-07,0.0,1.9377554203863495e-07,0.0,0.008916666666666666,label3x,,,2,0,0,0.00956959706959707
29,29,153,153,,154,70+,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,,,,1.0,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.0,0,1.0,,1.0-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.0-0-1.0,8,0.000244140625,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001220703125,0.0,0.0,0.0006666666666666666,label10x,,,9,0,0,0.015625
